"Kategoria";"Kod";"Nazwa";"Zmienna";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
"Gospodarstwa";0000000;"POLSKA";"gospodarstwa domowe objęte badaniem";"1999";31428;"gosp.";"";
"Gospodarstwa";0000000;"POLSKA";"gospodarstwa domowe objęte badaniem";"2000";36163;"gosp.";"";
"Gospodarstwa";0000000;"POLSKA";"gospodarstwa domowe objęte badaniem";"2001";31847;"gosp.";"";
"Gospodarstwa";0000000;"POLSKA";"gospodarstwa domowe objęte badaniem";"2002";32342;"gosp.";"";
"Gospodarstwa";0000000;"POLSKA";"gospodarstwa domowe objęte badaniem";"2003";32452;"gosp.";"";
"Gospodarstwa";0000000;"POLSKA";"gospodarstwa domowe objęte badaniem";"2004";32214;"gosp.";"";
"Gospodarstwa";0000000;"POLSKA";"gospodarstwa domowe objęte badaniem";"2005";34767;"gosp.";"";
"Gospodarstwa";0000000;"POLSKA";"gospodarstwa domowe objęte badaniem";"2006";37508;"gosp.";"";
"Gospodarstwa";0000000;"POLSKA";"gospodarstwa domowe objęte badaniem";"2007";37366;"gosp.";"";
"Gospodarstwa";0000000;"POLSKA";"gospodarstwa domowe objęte badaniem";"2008";37358;"gosp.";"";
"Gospodarstwa";0000000;"POLSKA";"gospodarstwa domowe objęte badaniem";"2009";37302;"gosp.";"";
"Gospodarstwa";0000000;"POLSKA";"gospodarstwa domowe objęte badaniem";"2010";37412;"gosp.";"";
"Gospodarstwa";0000000;"POLSKA";"gospodarstwa domowe objęte badaniem";"2011";37375;"gosp.";"";
"Gospodarstwa";0000000;"POLSKA";"gospodarstwa domowe objęte badaniem";"2012";37427;"gosp.";"";
"Gospodarstwa";0000000;"POLSKA";"gospodarstwa domowe objęte badaniem";"2013";37181;"gosp.";"";
"Gospodarstwa";0000000;"POLSKA";"gospodarstwa domowe objęte badaniem";"2014";37215;"gosp.";"";
"Gospodarstwa";0000000;"POLSKA";"gospodarstwa domowe objęte badaniem";"2015";37148;"gosp.";"";
"Gospodarstwa";0000000;"POLSKA";"gospodarstwa domowe objęte badaniem";"2016";36886;"gosp.";"";
"Gospodarstwa";0000000;"POLSKA";"gospodarstwa domowe objęte badaniem";"2017";36655;"gosp.";"";
"Gospodarstwa";0000000;"POLSKA";"gospodarstwa domowe objęte badaniem";"2018";36166;"gosp.";"";
"Gospodarstwa";0000000;"POLSKA";"gospodarstwa domowe objęte badaniem";"2019";35923;"gosp.";"";
"Gospodarstwa";0000000;"POLSKA";"gospodarstwa domowe objęte badaniem";"2020";33529;"gosp.";"";
"Gospodarstwa";0200000;"DOLNOŚLĄSKIE";"gospodarstwa domowe objęte badaniem";"1999";2489;"gosp.";"";
"Gospodarstwa";0200000;"DOLNOŚLĄSKIE";"gospodarstwa domowe objęte badaniem";"2000";2465;"gosp.";"";
"Gospodarstwa";0200000;"DOLNOŚLĄSKIE";"gospodarstwa domowe objęte badaniem";"2001";2582;"gosp.";"";
"Gospodarstwa";0200000;"DOLNOŚLĄSKIE";"gospodarstwa domowe objęte badaniem";"2002";2640;"gosp.";"";
"Gospodarstwa";0200000;"DOLNOŚLĄSKIE";"gospodarstwa domowe objęte badaniem";"2003";2669;"gosp.";"";
"Gospodarstwa";0200000;"DOLNOŚLĄSKIE";"gospodarstwa domowe objęte badaniem";"2004";2670;"gosp.";"";
"Gospodarstwa";0200000;"DOLNOŚLĄSKIE";"gospodarstwa domowe objęte badaniem";"2005";2820;"gosp.";"";
"Gospodarstwa";0200000;"DOLNOŚLĄSKIE";"gospodarstwa domowe objęte badaniem";"2006";2955;"gosp.";"";
"Gospodarstwa";0200000;"DOLNOŚLĄSKIE";"gospodarstwa domowe objęte badaniem";"2007";2939;"gosp.";"";
"Gospodarstwa";0200000;"DOLNOŚLĄSKIE";"gospodarstwa domowe objęte badaniem";"2008";2944;"gosp.";"";
"Gospodarstwa";0200000;"DOLNOŚLĄSKIE";"gospodarstwa domowe objęte badaniem";"2009";2939;"gosp.";"";
"Gospodarstwa";0200000;"DOLNOŚLĄSKIE";"gospodarstwa domowe objęte badaniem";"2010";2950;"gosp.";"";
"Gospodarstwa";0200000;"DOLNOŚLĄSKIE";"gospodarstwa domowe objęte badaniem";"2011";2930;"gosp.";"";
"Gospodarstwa";0200000;"DOLNOŚLĄSKIE";"gospodarstwa domowe objęte badaniem";"2012";2961;"gosp.";"";
"Gospodarstwa";0200000;"DOLNOŚLĄSKIE";"gospodarstwa domowe objęte badaniem";"2013";2978;"gosp.";"";
"Gospodarstwa";0200000;"DOLNOŚLĄSKIE";"gospodarstwa domowe objęte badaniem";"2014";2984;"gosp.";"";
"Gospodarstwa";0200000;"DOLNOŚLĄSKIE";"gospodarstwa domowe objęte badaniem";"2015";2935;"gosp.";"";
"Gospodarstwa";0200000;"DOLNOŚLĄSKIE";"gospodarstwa domowe objęte badaniem";"2016";2899;"gosp.";"";
"Gospodarstwa";0200000;"DOLNOŚLĄSKIE";"gospodarstwa domowe objęte badaniem";"2017";2875;"gosp.";"";
